"","model","year","price","transmission","mileage","fuelType","tax","mpg","engineSize"
"2370","5 Series",2018,29500,"Semi-Auto",9629,"Diesel",145,56.5,3
"2371","X5",2016,26520,"Automatic",59000,"Diesel",200,47.1,3
"2372","3 Series",2018,19992,"Semi-Auto",32456,"Diesel",145,62.8,2
"2373","2 Series",2017,21012,"Semi-Auto",36367,"Petrol",200,39.8,3
"2374","2 Series",2017,21726,"Semi-Auto",24442,"Petrol",145,39.8,3
"2375","1 Series",2016,13158,"Semi-Auto",31218,"Diesel",20,70.6,2
"2376","5 Series",2015,15189,"Semi-Auto",54636,"Diesel",125,60.1,2
"2377","1 Series",2016,12741,"Manual",42500,"Diesel",20,68.9,2
"2378","3 Series",2016,19300,"Semi-Auto",13500,"Hybrid",0,134.5,2
"2379","X3",2019,39991,"Semi-Auto",1266,"Diesel",145,54.3,2
"2380","1 Series",2015,14644,"Manual",31900,"Diesel",30,62.8,2
"2381","3 Series",2018,21560,"Semi-Auto",36646,"Diesel",145,53.3,3
"2382","X3",2015,19498,"Semi-Auto",30256,"Diesel",145,54.3,2
"2383","1 Series",2017,21798,"Semi-Auto",12967,"Petrol",200,39.8,3
"2384","3 Series",2018,20498,"Semi-Auto",19620,"Petrol",145,48.7,2
"2385","3 Series",2016,15498,"Semi-Auto",13377,"Petrol",125,51.4,2
"2386","3 Series",2018,20298,"Semi-Auto",26751,"Petrol",145,48.7,2
"2387","3 Series",2018,20998,"Semi-Auto",14486,"Petrol",150,48.7,2
"2388","X4",2019,38000,"Semi-Auto",15118,"Petrol",150,26.9,3
"2389","X5",2018,37500,"Automatic",6836,"Diesel",150,47.1,3
"2390","4 Series",2016,18000,"Automatic",15788,"Diesel",30,65.7,2
"2391","X5",2019,43750,"Semi-Auto",10829,"Diesel",145,37.7,3
"2392","3 Series",2016,19895,"Semi-Auto",26200,"Diesel",165,51.4,3
"2393","2 Series",2018,17798,"Semi-Auto",9816,"Petrol",150,38.2,2
"2394","3 Series",2017,14595,"Automatic",24624,"Petrol",145,51.4,2
"2395","3 Series",2019,28361,"Semi-Auto",13547,"Petrol",145,42.2,2
"2396","2 Series",2019,27416,"Semi-Auto",2171,"Diesel",145,64.2,2
"2397","5 Series",2017,22850,"Semi-Auto",20951,"Diesel",125,60.1,2
"2398","1 Series",2017,16250,"Semi-Auto",35332,"Diesel",150,60.1,2
"2399","5 Series",2019,40985,"Semi-Auto",7998,"Petrol",145,50.4,2
"2400","X2",2019,29000,"Semi-Auto",3351,"Petrol",145,39.2,2
"2401","2 Series",2019,21300,"Manual",2455,"Diesel",145,51.4,2
"2402","X1",2019,31200,"Semi-Auto",2517,"Diesel",145,36.7,2
"2403","Z4",2019,34890,"Semi-Auto",156,"Petrol",145,38.7,2
"2404","X2",2019,33800,"Semi-Auto",4291,"Petrol",145,34,2
"2405","2 Series",2019,21600,"Manual",1455,"Diesel",145,51.4,2
"2406","3 Series",2019,25330,"Semi-Auto",2307,"Diesel",145,65.7,2
"2407","3 Series",2016,14230,"Manual",57736,"Petrol",145,47.9,2
"2408","X1",2019,30920,"Manual",5234,"Diesel",145,68.9,2
"2409","4 Series",2018,20750,"Semi-Auto",7261,"Diesel",145,60.1,2
"2410","X4",2019,38500,"Semi-Auto",10802,"Diesel",145,37.2,3
"2411","7 Series",2019,48782,"Semi-Auto",101,"Diesel",145,41.5,3
"2412","5 Series",2019,42650,"Semi-Auto",101,"Petrol",145,50.4,2
"2413","3 Series",2016,22500,"Semi-Auto",24079,"Diesel",205,49.6,3
"2414","3 Series",2015,15000,"Semi-Auto",47773,"Diesel",125,58.9,2
"2415","4 Series",2019,24250,"Automatic",5758,"Diesel",145,65.7,2
"2416","3 Series",2019,24000,"Automatic",12473,"Diesel",145,52.3,2
"2417","X5",2019,53500,"Automatic",6601,"Diesel",145,33.6,3
