"","model","year","price","transmission","mileage","fuelType","tax","mpg","engineSize"
"1","5 Series",2014,11200,"Automatic",67068,"Diesel",125,57.6,2
"2","6 Series",2018,27000,"Automatic",14827,"Petrol",145,42.8,2
"3","5 Series",2016,16000,"Automatic",62794,"Diesel",160,51.4,3
"4","1 Series",2017,12750,"Automatic",26676,"Diesel",145,72.4,1.5
"5","7 Series",2014,14500,"Automatic",39554,"Diesel",160,50.4,3
"6","5 Series",2016,14900,"Automatic",35309,"Diesel",125,60.1,2
"7","5 Series",2017,16000,"Automatic",38538,"Diesel",125,60.1,2
"8","2 Series",2018,16250,"Manual",10401,"Petrol",145,52.3,1.5
"9","4 Series",2017,14250,"Manual",42668,"Diesel",30,62.8,2
"10","5 Series",2016,14250,"Automatic",36099,"Diesel",20,68.9,2
"11","X3",2017,15500,"Manual",74907,"Diesel",145,52.3,2
"12","1 Series",2017,11800,"Manual",29840,"Diesel",20,68.9,2
"13","X3",2016,15500,"Automatic",77823,"Diesel",125,54.3,2
"14","2 Series",2015,10500,"Manual",31469,"Diesel",20,68.9,2
"15","X3",2017,22000,"Automatic",19057,"Diesel",145,54.3,2
"16","3 Series",2017,16500,"Manual",16570,"Diesel",125,58.9,2
"17","3 Series",2017,16000,"Automatic",45456,"Diesel",30,64.2,2
"18","1 Series",2017,15500,"Automatic",22812,"Diesel",20,68.9,1.5
"19","4 Series",2014,14000,"Automatic",47348,"Diesel",125,60.1,2
"20","1 Series",2015,9700,"Automatic",75124,"Diesel",20,70.6,2
"21","3 Series",2015,12600,"Automatic",78957,"Diesel",30,62.8,2
"22","3 Series",2016,15100,"Automatic",29213,"Diesel",30,64.2,2
"23","1 Series",2016,9400,"Manual",44498,"Diesel",0,83.1,1.5
"24","1 Series",2016,14300,"Automatic",22461,"Diesel",20,67.3,2
"25","1 Series",2016,11200,"Manual",23005,"Petrol",125,53.3,1.5
"26","3 Series",2019,17800,"Automatic",22310,"Diesel",145,64.2,2
"27","3 Series",2016,14400,"Automatic",51994,"Diesel",30,62.8,2
"28","X5",2016,19750,"Automatic",96213,"Diesel",165,52.3,2
"29","X3",2015,17400,"Automatic",50316,"Diesel",200,47.9,3
"30","4 Series",2017,16800,"Automatic",44011,"Diesel",150,65.7,2
"31","X4",2017,23000,"Automatic",34960,"Diesel",150,54.3,2
"32","i3",2016,17100,"Automatic",25269,"Hybrid",0,NA,0.6
"33","1 Series",2017,20500,"Automatic",24029,"Petrol",145,39.8,3
"34","1 Series",2017,11900,"Manual",22920,"Petrol",145,53.3,1.5
"35","3 Series",2015,11500,"Manual",59634,"Diesel",125,61.4,2
"36","1 Series",2016,13500,"Manual",29226,"Diesel",30,62.8,2
"37","X1",2017,18900,"Automatic",33514,"Diesel",145,60.1,2
"38","1 Series",2018,14600,"Automatic",6522,"Petrol",145,37.2,1.5
"39","3 Series",2016,15800,"Manual",11231,"Petrol",145,47.9,2
"40","1 Series",2016,11400,"Manual",21591,"Petrol",125,53.3,1.5
"41","X3",2013,12000,"Automatic",79972,"Diesel",200,47.1,3
"42","1 Series",2018,17500,"Automatic",14037,"Petrol",145,54.3,1.5
"43","5 Series",2017,23500,"Automatic",25034,"Diesel",200,47.9,3
"44","X1",2016,16700,"Automatic",44478,"Diesel",125,60.1,2
"45","X3",2017,18000,"Automatic",74852,"Diesel",150,47.1,3
"46","4 Series",2016,15500,"Automatic",45856,"Diesel",30,65.7,2
"47","1 Series",2016,9200,"Manual",48858,"Diesel",0,83.1,1.5
"48","1 Series",2017,11200,"Manual",40399,"Diesel",145,68.9,2
"49","1 Series",2016,13200,"Manual",17393,"Diesel",30,65.7,2
"50","5 Series",2014,11000,"Automatic",84816,"Diesel",30,62.8,2
"51","3 Series",2017,18500,"Automatic",27139,"Diesel",160,51.4,3
"52","1 Series",2017,12750,"Automatic",91563,"Diesel",125,60.1,2
"53","3 Series",2014,14000,"Manual",32139,"Petrol",205,43.5,2
"54","X1",2017,14000,"Automatic",54120,"Diesel",30,65.7,2
"55","X1",2017,14000,"Manual",20925,"Diesel",150,68.9,2
"56","3 Series",2016,12750,"Manual",30521,"Diesel",20,68.9,2
"57","X1",2018,18000,"Manual",16066,"Petrol",150,51.4,1.5
"58","1 Series",2015,11100,"Manual",11524,"Diesel",0,83.1,1.5
"59","1 Series",2017,12700,"Manual",21809,"Petrol",145,53.3,1.5
"60","1 Series",2017,14500,"Automatic",27245,"Diesel",145,68.9,2
"61","3 Series",2013,12750,"Automatic",35736,"Diesel",125,58.9,2
"62","X1",2017,14100,"Automatic",55782,"Diesel",145,65.7,2
"63","1 Series",2016,10800,"Manual",26404,"Petrol",125,53.3,1.5
"64","1 Series",2016,13000,"Manual",26631,"Petrol",125,52.3,1.5
"65","1 Series",2016,12500,"Manual",24111,"Petrol",145,47.1,1.6
"66","3 Series",2017,13600,"Manual",22763,"Petrol",145,48.7,2
"67","3 Series",2016,12700,"Manual",17385,"Diesel",20,72.4,2
"68","5 Series",2016,15600,"Automatic",35474,"Diesel",125,60.1,2
"69","4 Series",2016,15250,"Manual",16584,"Diesel",30,62.8,2
"70","1 Series",2018,11700,"Manual",30273,"Diesel",145,53.3,1.5
"71","2 Series",2017,10900,"Manual",62021,"Diesel",145,65.7,2
"72","5 Series",2016,14400,"Automatic",51552,"Diesel",30,62.8,2
"73","1 Series",2016,11100,"Manual",29508,"Petrol",125,53.3,1.5
"74","1 Series",2017,11100,"Manual",30865,"Diesel",145,72.4,1.5
"75","5 Series",2014,12400,"Automatic",46356,"Diesel",30,62.8,2
"76","1 Series",2016,12800,"Manual",18343,"Diesel",20,70.6,1.5
"77","5 Series",2014,15000,"Automatic",13858,"Diesel",125,57.6,2
"78","2 Series",2017,12750,"Manual",33752,"Petrol",125,52.3,1.5
"79","X3",2016,21750,"Automatic",19083,"Diesel",150,54.3,2
"80","2 Series",2017,13900,"Automatic",46281,"Petrol",125,51.4,1.5
"81","X1",2017,14000,"Automatic",54183,"Diesel",150,65.7,2
"82","X1",2017,15200,"Automatic",36701,"Diesel",30,65.7,2
"83","3 Series",2017,13500,"Automatic",48082,"Petrol",150,51.4,2
"84","X1",2016,12150,"Manual",77482,"Diesel",20,68.9,2
"85","5 Series",2016,14000,"Automatic",39235,"Diesel",30,62.8,2
"86","3 Series",2018,19490,"Automatic",30703,"Diesel",145,57.6,2
"87","1 Series",2015,15499,"Semi-Auto",20000,"Diesel",125,60.1,2
"88","2 Series",2017,13000,"Semi-Auto",34971,"Diesel",150,72.4,1.5
"89","1 Series",2014,10600,"Semi-Auto",44900,"Diesel",30,64.2,2
"90","X3",2017,23000,"Semi-Auto",16945,"Diesel",150,54.3,2
"91","M4",2016,29998,"Semi-Auto",34209,"Petrol",300,34,3
"92","1 Series",2017,12498,"Manual",14138,"Diesel",20,72.4,1.5
"93","1 Series",2015,7948,"Manual",74375,"Diesel",30,65.7,2
"94","X1",2017,17800,"Automatic",31238,"Diesel",145,55.4,2
"95","3 Series",2015,13100,"Manual",37204,"Diesel",30,64.2,2
"96","1 Series",2017,11400,"Manual",26265,"Diesel",0,83.1,1.5
"97","3 Series",2016,14800,"Automatic",38838,"Diesel",125,57.6,2
"98","X3",2016,15900,"Automatic",59692,"Diesel",145,54.3,2
"99","3 Series",2016,16300,"Automatic",34623,"Diesel",125,57.6,2
"100","3 Series",2017,14800,"Manual",29968,"Diesel",30,64.2,2
"101","3 Series",2017,19700,"Automatic",27748,"Diesel",200,49.6,3
"102","3 Series",2015,14450,"Automatic",47288,"Diesel",30,62.8,2
"103","5 Series",2016,13500,"Automatic",64117,"Diesel",30,65.7,2
"104","5 Series",2015,10900,"Automatic",79563,"Diesel",125,60.1,2
"105","3 Series",2016,12200,"Manual",34842,"Diesel",30,67.3,2
"106","2 Series",2016,10600,"Manual",24313,"Diesel",0,74.3,1.5
"107","2 Series",2015,9100,"Manual",40789,"Diesel",0,74.3,1.5
"108","3 Series",2017,12600,"Automatic",66743,"Diesel",30,67.3,2
"109","5 Series",2016,13600,"Automatic",65612,"Diesel",30,62.8,2
"110","1 Series",2016,11700,"Manual",21390,"Diesel",20,72.4,1.5
"111","3 Series",2017,12450,"Automatic",72065,"Diesel",20,70.6,2
"112","5 Series",2016,13500,"Automatic",62444,"Diesel",125,60.1,2
"113","X3",2013,12750,"Automatic",71558,"Diesel",160,50.4,2
"114","X1",2017,16700,"Automatic",34666,"Diesel",145,65.7,2
"115","1 Series",2016,11400,"Manual",22920,"Diesel",20,72.4,1.5
"116","X1",2017,14700,"Manual",38405,"Diesel",145,68.9,2
"117","3 Series",2018,19000,"Automatic",20681,"Diesel",145,64.2,2
"118","3 Series",2017,15400,"Automatic",20529,"Diesel",145,65.7,2
"119","X3",2016,19000,"Automatic",42691,"Diesel",145,54.3,2
"120","1 Series",2018,15000,"Automatic",10058,"Petrol",145,37.2,1.5
"121","3 Series",2016,17950,"Automatic",40337,"Diesel",145,53.3,3
"122","5 Series",2018,22600,"Automatic",23195,"Diesel",145,65.7,2
"123","1 Series",2017,13200,"Manual",17117,"Petrol",145,53.3,1.5
"124","3 Series",2017,12750,"Manual",22153,"Diesel",150,68.9,2
"125","3 Series",2015,9750,"Manual",56038,"Diesel",20,68.9,2
"126","3 Series",2017,10900,"Automatic",78345,"Diesel",0,74.3,2
"127","X4",2016,21400,"Automatic",31084,"Diesel",145,54.3,2
"128","1 Series",2017,14600,"Automatic",5615,"Petrol",145,58.9,1.5
"129","3 Series",2017,12600,"Automatic",55751,"Petrol",150,51.4,1.5
"130","X4",2017,22500,"Automatic",35016,"Diesel",150,54.3,2
"131","1 Series",2016,8000,"Manual",81579,"Diesel",0,83.1,1.5
"132","X1",2017,14800,"Manual",31518,"Diesel",145,60.1,2
"133","1 Series",2016,9900,"Manual",44008,"Diesel",0,83.1,1.5
"134","2 Series",2016,9500,"Manual",59509,"Diesel",20,68.9,2
"135","1 Series",2016,14200,"Automatic",36858,"Diesel",125,60.1,2
"136","1 Series",2016,12100,"Automatic",25786,"Diesel",0,74.3,2
"137","1 Series",2016,12700,"Automatic",24592,"Diesel",20,68.9,2
"138","1 Series",2016,8800,"Manual",51002,"Diesel",0,83.1,1.5
"139","1 Series",2017,15000,"Automatic",26052,"Diesel",145,68.9,2
"140","3 Series",2017,17100,"Automatic",31528,"Diesel",145,64.2,2
"141","X3",2017,21750,"Automatic",25776,"Diesel",200,47.9,3
"142","1 Series",2016,13400,"Manual",18055,"Petrol",125,52.3,1.5
"143","3 Series",2014,9900,"Automatic",63223,"Diesel",20,68.9,2
"144","1 Series",2016,13700,"Manual",8719,"Petrol",125,52.3,1.5
"145","4 Series",2018,16900,"Automatic",27133,"Petrol",145,44.8,2
"146","5 Series",2018,21950,"Automatic",21947,"Diesel",150,68.9,2
"147","X1",2013,8750,"Manual",80625,"Diesel",160,51.4,2
"148","1 Series",2016,13750,"Automatic",8707,"Petrol",30,55.5,1.5
"149","1 Series",2017,12800,"Manual",10861,"Petrol",125,53.3,1.5
"150","4 Series",2017,16000,"Manual",16359,"Petrol",145,46.3,2
"151","4 Series",2017,16600,"Automatic",46913,"Diesel",145,65.7,2
"152","3 Series",2017,15100,"Manual",37747,"Diesel",125,60.1,2
"153","4 Series",2017,16750,"Manual",24882,"Petrol",145,46.3,2
"154","1 Series",2015,12450,"Manual",24474,"Petrol",125,52.3,1.5
"155","3 Series",2018,15700,"Automatic",29394,"Petrol",145,48.7,2
"156","5 Series",2016,12600,"Manual",59528,"Diesel",125,60.1,2
"157","2 Series",2016,14600,"Manual",15577,"Petrol",160,44.1,2
"158","X1",2016,13700,"Manual",52226,"Diesel",20,68.9,2
"159","3 Series",2017,16900,"Automatic",12330,"Diesel",30,64.2,2
"160","4 Series",2015,15998,"Semi-Auto",62943,"Diesel",30,65.7,2
"161","X1",2020,31498,"Semi-Auto",1560,"Diesel",145,60.1,2
"162","2 Series",2020,27998,"Manual",1580,"Petrol",150,43.5,1.5
"163","X5",2020,54998,"Semi-Auto",1500,"Diesel",150,37.7,3
"164","3 Series",2014,11998,"Manual",11545,"Petrol",165,44.8,2
"165","2 Series",2020,25998,"Automatic",3160,"Hybrid",140,113,1.5
"166","1 Series",2020,31998,"Semi-Auto",1560,"Diesel",150,48.7,2
"167","X2",2020,29998,"Manual",1850,"Diesel",150,49.6,2
"168","X4",2019,33998,"Semi-Auto",7272,"Diesel",150,42.8,2
"169","X4",2019,33998,"Semi-Auto",7272,"Diesel",150,42.8,2
"170","1 Series",2017,14995,"Manual",19866,"Diesel",30,65.7,2
"171","4 Series",2016,17995,"Semi-Auto",22476,"Petrol",145,48.7,2
"172","1 Series",2013,14498,"Semi-Auto",42786,"Petrol",235,37.7,3
"173","1 Series",2015,10998,"Manual",42410,"Diesel",30,65.7,2
"174","5 Series",2014,11998,"Semi-Auto",60681,"Diesel",125,57.6,2
"175","X1",2016,14498,"Manual",57717,"Diesel",125,58.9,2
"176","3 Series",2017,16998,"Semi-Auto",8096,"Petrol",145,51.4,2
"177","1 Series",2015,11498,"Manual",49151,"Diesel",30,62.8,2
"178","X6",2017,29498,"Semi-Auto",40429,"Diesel",200,47.1,3
"179","M4",2016,31498,"Semi-Auto",21107,"Petrol",300,34,3
"180","1 Series",2016,19498,"Semi-Auto",33043,"Petrol",200,39.8,3
"181","X1",2016,17998,"Semi-Auto",50378,"Diesel",125,57.6,2
"182","5 Series",2019,25998,"Semi-Auto",11115,"Diesel",145,65.7,2
"183","X1",2013,8298,"Manual",69020,"Diesel",125,57.6,2
"184","8 Series",2019,61898,"Semi-Auto",2650,"Diesel",145,39.8,3
"185","1 Series",2014,13298,"Manual",55834,"Petrol",300,35.3,3
"186","3 Series",2019,21898,"Semi-Auto",5761,"Diesel",150,55.4,2
"187","1 Series",2017,11498,"Semi-Auto",47110,"Diesel",0,78.5,1.5
"188","X3",2014,17495,"Semi-Auto",54075,"Diesel",145,54.3,2
"189","5 Series",2015,14998,"Semi-Auto",45152,"Diesel",30,62.8,2
"190","2 Series",2014,10498,"Manual",52091,"Diesel",125,58.9,2
"191","1 Series",2019,19998,"Semi-Auto",4812,"Petrol",145,47.9,2
"192","X1",2016,16698,"Semi-Auto",37272,"Petrol",160,44.8,2
"193","3 Series",2019,27998,"Semi-Auto",4250,"Diesel",145,48.7,2
"194","5 Series",2018,27798,"Semi-Auto",15711,"Diesel",145,60.1,3
"195","1 Series",2016,18298,"Manual",21236,"Petrol",260,36.2,3
"196","1 Series",2017,14698,"Semi-Auto",24008,"Petrol",145,55.5,1.5
"197","X1",2016,18498,"Semi-Auto",25994,"Diesel",145,55.4,2
"198","X5",2015,27998,"Automatic",24188,"Diesel",200,47.1,3
"199","X5",2015,21498,"Automatic",59216,"Diesel",200,47.9,3
"200","1 Series",2017,19498,"Manual",21171,"Petrol",260,36.2,3
"201","1 Series",2017,14498,"Manual",24259,"Petrol",145,52.3,1.5
"202","5 Series",2017,22998,"Semi-Auto",19379,"Diesel",145,65.7,2
"203","1 Series",2017,14498,"Manual",20790,"Diesel",145,70.6,1.5
"204","5 Series",2019,29898,"Semi-Auto",2743,"Diesel",145,60.1,2
"205","3 Series",2019,22998,"Semi-Auto",6000,"Petrol",145,48.7,2
"206","3 Series",2019,29998,"Manual",3980,"Diesel",145,53.3,2
"207","4 Series",2019,29898,"Semi-Auto",101,"Diesel",145,60.1,2
"208","5 Series",2017,20498,"Semi-Auto",12725,"Diesel",145,68.9,2
"209","3 Series",2019,27650,"Semi-Auto",18200,"Diesel",150,48.7,2
"210","Z4",2016,18650,"Semi-Auto",25300,"Petrol",205,41.5,2
"211","4 Series",2018,22995,"Automatic",7200,"Petrol",145,48.7,2
"212","X6",2018,36995,"Semi-Auto",6100,"Diesel",145,47.1,3
"213","5 Series",2018,26995,"Automatic",6800,"Diesel",145,68.9,2
"214","1 Series",2013,11995,"Manual",31600,"Diesel",125,57.6,2
"215","5 Series",2018,25995,"Semi-Auto",8700,"Diesel",145,49.6,2
"216","X6",2016,29995,"Automatic",43600,"Diesel",200,44.8,3
"217","3 Series",2018,21495,"Semi-Auto",16452,"Petrol",150,48.7,2
"218","5 Series",2017,22998,"Automatic",15838,"Diesel",145,60.1,2
"219","5 Series",2019,34498,"Automatic",6775,"Diesel",145,51.4,3
"220","1 Series",2019,18498,"Semi-Auto",11234,"Diesel",145,68.9,2
"221","7 Series",2019,45898,"Semi-Auto",5893,"Diesel",145,44.1,3
"222","X3",2019,37898,"Semi-Auto",9781,"Diesel",145,48.7,3
"223","X5",2016,34498,"Automatic",17303,"Hybrid",0,85.6,2
"224","1 Series",2016,17998,"Manual",25334,"Petrol",300,35.3,3
"225","3 Series",2016,18498,"Semi-Auto",36501,"Diesel",145,53.3,3
"226","2 Series",2019,23998,"Semi-Auto",2318,"Petrol",145,47.9,2
"227","X1",2017,21498,"Semi-Auto",14418,"Diesel",145,55.4,2
"228","X1",2017,18500,"Semi-Auto",12160,"Diesel",145,65.7,2
"229","X3",2018,31000,"Semi-Auto",20290,"Diesel",145,48.7,3
"230","X1",2016,19500,"Semi-Auto",13690,"Diesel",125,57.6,2
"231","X5",2017,34000,"Automatic",22158,"Diesel",205,47.1,3
"232","X5",2015,28000,"Automatic",36174,"Diesel",205,47.1,3
"233","3 Series",2018,22000,"Semi-Auto",30000,"Diesel",150,53.3,3
"234","1 Series",2016,16000,"Manual",40125,"Petrol",305,35.3,3
"235","3 Series",2017,18000,"Manual",20087,"Petrol",165,44.8,2
"236","X7",2020,78000,"Semi-Auto",5000,"Diesel",150,31.4,3
"237","3 Series",2018,22500,"Semi-Auto",11150,"Petrol",145,48.7,2
"238","1 Series",2018,15500,"Manual",5827,"Petrol",145,37.7,1.5
"239","4 Series",2019,29000,"Semi-Auto",14000,"Diesel",145,50.4,3
"240","4 Series",2019,24700,"Semi-Auto",5196,"Diesel",145,65.7,2
"241","2 Series",2019,24000,"Semi-Auto",2500,"Petrol",145,39.2,1.5
"242","1 Series",2018,16000,"Manual",7000,"Diesel",145,50.4,1.5
"243","X3",2019,56000,"Semi-Auto",26,"Petrol",145,24.8,3
"244","1 Series",2019,32000,"Semi-Auto",4493,"Petrol",145,34.5,2
"245","X1",2018,20000,"Semi-Auto",10545,"Diesel",145,60.1,2
"246","X1",2017,22000,"Semi-Auto",16500,"Petrol",145,44.8,2
"247","3 Series",2016,16998,"Semi-Auto",43695,"Hybrid",0,134.5,2
"248","X3",2015,17498,"Semi-Auto",48867,"Diesel",145,54.3,2
"249","1 Series",2017,15798,"Semi-Auto",23157,"Petrol",145,54.3,1.5
"250","X1",2016,18998,"Semi-Auto",30434,"Diesel",125,57.6,2
"251","3 Series",2015,20000,"Semi-Auto",39700,"Diesel",160,50.4,3
"252","5 Series",2019,28000,"Semi-Auto",5739,"Diesel",145,62.8,2
"253","X5",2017,41500,"Automatic",18000,"Diesel",145,42.8,3
"254","1 Series",2018,16000,"Semi-Auto",24275,"Diesel",145,68.9,1.5
"255","4 Series",2017,20800,"Semi-Auto",14774,"Diesel",125,58.9,2
"256","3 Series",2018,20500,"Semi-Auto",12133,"Petrol",145,48.7,2
"257","1 Series",2017,15500,"Manual",15645,"Petrol",125,52.3,1.5
"258","X4",2016,25000,"Semi-Auto",25085,"Diesel",200,47.9,3
"259","1 Series",2017,21500,"Semi-Auto",19486,"Petrol",145,39.8,3
"260","X2",2019,30000,"Semi-Auto",5431,"Diesel",145,48.7,2
"261","7 Series",2020,53000,"Semi-Auto",6555,"Diesel",145,42.2,3
"262","3 Series",2014,14000,"Semi-Auto",73923,"Diesel",160,52.3,3
"263","1 Series",2018,25990,"Semi-Auto",6500,"Petrol",150,32.5,3
"264","X4",2018,32000,"Semi-Auto",10920,"Diesel",150,42.8,2
"265","3 Series",2019,24300,"Semi-Auto",8000,"Petrol",150,44.8,2
"266","5 Series",2019,33000,"Semi-Auto",12250,"Diesel",150,53.3,3
"267","X3",2016,20500,"Semi-Auto",37000,"Diesel",145,54.3,2
"268","3 Series",2016,19000,"Semi-Auto",40500,"Diesel",145,53.3,3
"269","3 Series",2017,18000,"Semi-Auto",33000,"Diesel",145,60.1,2
"270","M4",2020,51000,"Semi-Auto",2000,"Petrol",145,32.5,3
"271","X3",2015,16500,"Semi-Auto",48000,"Diesel",145,54.3,2
"272","4 Series",2017,19800,"Manual",17410,"Petrol",150,40.9,2
"273","1 Series",2017,13500,"Manual",25975,"Petrol",145,53.3,1.5
"274","1 Series",2019,18500,"Semi-Auto",12054,"Petrol",150,54.3,1.5
"275","1 Series",2014,9300,"Manual",51203,"Diesel",30,65.7,2
"276","X5",2019,50000,"Semi-Auto",5145,"Diesel",150,37.7,3
"277","1 Series",2017,11800,"Manual",23274,"Diesel",20,72.4,1.5
"278","4 Series",2018,22000,"Semi-Auto",10948,"Diesel",145,60.1,2
"279","2 Series",2019,27500,"Semi-Auto",7000,"Petrol",145,38.2,3
"280","5 Series",2019,28000,"Semi-Auto",16000,"Diesel",145,60.1,3
"281","2 Series",2020,29000,"Manual",5550,"Petrol",145,43.5,1.5
"282","3 Series",2014,16800,"Semi-Auto",50687,"Diesel",160,52.3,3
"283","3 Series",2013,15500,"Semi-Auto",46500,"Diesel",150,55.4,3
"284","X1",2016,19300,"Semi-Auto",25300,"Diesel",125,60.1,2
"285","1 Series",2017,16998,"Semi-Auto",12458,"Diesel",30,62.8,2
"286","1 Series",2017,21498,"Semi-Auto",21200,"Petrol",200,39.8,3
"287","4 Series",2016,18998,"Semi-Auto",20151,"Diesel",145,53.3,3
"288","X1",2017,18498,"Manual",13278,"Diesel",125,58.9,2
"289","5 Series",2019,27000,"Semi-Auto",9000,"Petrol",145,48.7,2
"290","2 Series",2018,18000,"Semi-Auto",13174,"Diesel",145,49.6,2
"291","7 Series",2016,26000,"Semi-Auto",39085,"Diesel",145,54.3,3
"292","3 Series",2017,25500,"Semi-Auto",14834,"Diesel",145,51.4,3
"293","3 Series",2016,18000,"Semi-Auto",15088,"Diesel",145,55.4,3
"294","1 Series",2017,16800,"Semi-Auto",16761,"Diesel",145,67.3,2
"295","3 Series",2018,21300,"Semi-Auto",18564,"Diesel",145,60.1,2
"296","X2",2019,29000,"Semi-Auto",1418,"Petrol",145,36.2,2
"297","3 Series",2019,34000,"Semi-Auto",5525,"Diesel",145,50.4,2
"298","3 Series",2017,24000,"Semi-Auto",15338,"Diesel",145,49.6,3
"299","3 Series",2013,14990,"Semi-Auto",35500,"Diesel",145,55.4,2
"300","5 Series",2017,30000,"Semi-Auto",11086,"Diesel",145,53.3,3
"301","1 Series",2018,15800,"Semi-Auto",11132,"Petrol",145,55.5,1.5
"302","1 Series",2018,16500,"Semi-Auto",7656,"Petrol",145,37.2,1.5
"303","X3",2015,19500,"Semi-Auto",41567,"Diesel",145,54.3,2
"304","5 Series",2019,40000,"Semi-Auto",1034,"Petrol",145,39.2,3
"305","1 Series",2017,21800,"Semi-Auto",20294,"Petrol",200,39.8,3
"306","3 Series",2017,20998,"Semi-Auto",30422,"Diesel",145,51.4,3
"307","3 Series",2017,19698,"Semi-Auto",20313,"Diesel",145,56.5,3
"308","3 Series",2016,21498,"Semi-Auto",28775,"Diesel",160,51.4,3
"309","3 Series",2015,17200,"Semi-Auto",6147,"Petrol",145,47.9,2
"310","X5",2013,24000,"Automatic",45150,"Diesel",200,45.6,3
"311","1 Series",2019,26000,"Manual",2073,"Diesel",145,57.7,1.5
"312","4 Series",2020,27000,"Semi-Auto",25,"Petrol",145,48.7,2
"313","4 Series",2020,27500,"Semi-Auto",25,"Diesel",145,60.1,2
"314","X5",2019,52000,"Semi-Auto",6500,"Diesel",145,37.7,3
"315","4 Series",2019,32000,"Semi-Auto",4025,"Diesel",145,50.4,3
"316","2 Series",2015,10498,"Manual",27221,"Diesel",0,74.3,1.5
"317","3 Series",2013,9985,"Manual",75561,"Diesel",20,68.9,2
"318","X4",2015,19485,"Manual",53755,"Diesel",160,52.3,2
"319","3 Series",2013,9965,"Semi-Auto",95043,"Diesel",30,62.8,2
"320","X1",2014,10985,"Semi-Auto",56952,"Diesel",160,52.3,2
"321","1 Series",2017,13489,"Semi-Auto",59066,"Diesel",20,72.4,1.5
"322","3 Series",2016,13994,"Semi-Auto",46889,"Diesel",30,67.3,2
"323","5 Series",2019,35950,"Semi-Auto",5137,"Diesel",145,51.4,3
"324","4 Series",2019,25490,"Semi-Auto",8794,"Diesel",145,60.1,2
"325","5 Series",2019,34900,"Semi-Auto",9854,"Diesel",145,53.3,3
"326","7 Series",2018,42000,"Semi-Auto",7123,"Diesel",145,52.3,3
"327","1 Series",2014,12000,"Manual",41500,"Diesel",125,57.6,2
"328","1 Series",2016,14000,"Manual",24678,"Diesel",30,65.7,2
"329","M4",2019,48000,"Semi-Auto",2258,"Petrol",145,34,3
"330","2 Series",2019,23950,"Semi-Auto",4413,"Diesel",145,46.3,2
"331","4 Series",2019,26550,"Semi-Auto",7292,"Diesel",145,58.9,2
"332","X1",2016,18000,"Semi-Auto",46354,"Diesel",125,57.6,2
"333","6 Series",2018,27990,"Semi-Auto",21525,"Diesel",150,49.6,3
"334","1 Series",2017,13450,"Manual",15663,"Petrol",150,53.3,1.5
"335","X5",2017,34990,"Automatic",18000,"Diesel",200,47.1,3
"336","4 Series",2020,29500,"Semi-Auto",17,"Diesel",145,60.1,2
"337","5 Series",2019,28500,"Semi-Auto",3816,"Diesel",145,62.8,2
"338","5 Series",2019,26000,"Semi-Auto",4405,"Petrol",145,48.7,2
"339","X2",2019,27000,"Manual",4825,"Diesel",145,49.6,2
"340","4 Series",2019,27000,"Semi-Auto",4406,"Diesel",145,60.1,2
"341","3 Series",2019,33000,"Semi-Auto",11564,"Diesel",145,49.6,2
"342","X2",2019,32000,"Semi-Auto",10,"Petrol",145,34,2
"343","5 Series",2016,14495,"Semi-Auto",51700,"Diesel",30,65.7,2
"344","3 Series",2013,9498,"Semi-Auto",55701,"Petrol",145,47.9,1.6
"345","1 Series",2018,23498,"Semi-Auto",11131,"Petrol",145,39.8,3
"346","3 Series",2020,51000,"Semi-Auto",5000,"Diesel",150,43.5,3
"347","X3",2016,22000,"Semi-Auto",25000,"Diesel",150,54.3,2
"348","1 Series",2017,23000,"Semi-Auto",18100,"Petrol",150,39.8,3
"349","X6",2018,39990,"Semi-Auto",7427,"Diesel",145,40.9,3
"350","3 Series",2017,17000,"Semi-Auto",43362,"Diesel",145,56.5,3
"351","1 Series",2017,11990,"Manual",18435,"Petrol",125,53.3,1.5
"352","1 Series",2019,16500,"Semi-Auto",5000,"Diesel",145,72.4,1.5
"353","X4",2018,40000,"Semi-Auto",4135,"Diesel",145,37.2,3
"354","1 Series",2019,27000,"Semi-Auto",1214,"Diesel",145,51.4,2
"355","M5",2019,72000,"Semi-Auto",3545,"Petrol",145,24.1,4.4
"356","3 Series",2017,19650,"Semi-Auto",43267,"Diesel",145,62.8,2
"357","X5",2020,60990,"Semi-Auto",3500,"Diesel",145,33.6,3
"358","4 Series",2019,22500,"Semi-Auto",5623,"Diesel",145,65.7,2
"359","M4",2018,43500,"Semi-Auto",2577,"Petrol",150,34,3
"360","2 Series",2015,18700,"Semi-Auto",43617,"Petrol",265,37.2,3
"361","X5",2015,26000,"Automatic",52936,"Diesel",205,47.1,3
"362","7 Series",2017,34000,"Semi-Auto",25000,"Diesel",150,53.3,3
"363","3 Series",2014,15000,"Semi-Auto",56000,"Diesel",150,55.4,2
"364","3 Series",2017,18300,"Semi-Auto",20000,"Diesel",150,62.8,2
"365","4 Series",2015,15990,"Semi-Auto",87597,"Diesel",160,51.4,3
"366","3 Series",2013,9995,"Manual",74449,"Petrol",200,41.5,2
"367","X2",2019,23498,"Semi-Auto",3241,"Petrol",150,40.4,2
"368","3 Series",2019,34450,"Semi-Auto",3500,"Diesel",145,45.6,3
